card_number,first_name,father_name,grandfather_name,sex,phone,dob_ec,age,city,address,registered_at
1,Sara,Gebre,Lemma,Female,0733218196,,5,Addis Ababa,"Kirkos, Woreda 4, House 239",
2,Kebede,Mekonnen,Assefa,Male,0786379402,,90,Gondar,"Gulele, Woreda 5, House 160",
3,Getachew,Wolde,Worku,Male,0959407816,,11,Dessie,"Lideta, Woreda 11, House 634",
4,Dawit,Wolde,Mekonnen,Male,0934131647,,82,Harar,"Gulele, Woreda 3, House 380",
5,Hana,Tadesse,Assefa,Female,0928327648,,29,Shashemene,"Gulele, Woreda 1, House 235",
6,Dawit,Worku,Negash,Male,0995376724,,18,Bahir Dar,"Nifas Silk, Woreda 9, House 270",
7,Lidya,Hailu,Lemma,Female,0928710122,,88,Gondar,"Addis Ketema, Woreda 2, House 395",
8,Rediet,Mulugeta,Gebre,Female,0980184514,,56,Hawassa,"Akaki, Woreda 1, House 977",
9,Rediet,Abebe,Kebede,Female,0748932528,,68,Debre Markos,"Bole, Woreda 10, House 332",
10,Tadesse,Abebe,Tekle,Male,0743039117,,9,Arba Minch,"Nifas Silk, Woreda 3, House 132",
11,Habtamu,Alemu,Assefa,Male,0763834657,,67,Jimma,"Kirkos, Woreda 4, House 231",
12,Fikru,Abebe,Mekonnen,Male,0930103105,,10,Dessie,"Arada, Woreda 5, House 686",
13,Tsion,Bekele,Tadesse,Female,0937631165,,55,Gondar,"Akaki, Woreda 12, House 56",
14,Mekonnen,Alemu,Desta,Male,0713338726,,24,Mekelle,"Akaki, Woreda 4, House 896",
15,Saba,Hailu,Kebede,Female,0980132677,,28,Harar,"Kolfe, Woreda 1, House 169",
16,Genet,Tadesse,Assefa,Female,0774687234,,28,Addis Ababa,"Addis Ketema, Woreda 12, House 556",
17,Eyob,Worku,Getachew,Male,0982081219,,9,Shashemene,"Arada, Woreda 7, House 123",
18,Meron,Habtamu,Desta,Female,0969985435,,31,Mekelle,"Kolfe, Woreda 3, House 688",
19,Dawit,Getachew,Wolde,Male,0999118384,,17,Debre Markos,"Gulele, Woreda 2, House 901",
20,Alemu,Girma,Mulugeta,Male,0749808412,,34,Adama,"Kirkos, Woreda 12, House 567",
21,Kebede,Girma,Mulugeta,Male,0734874016,,36,Addis Ababa,"Bole, Woreda 6, House 790",
22,Alemu,Girma,Tadesse,Male,0968011280,,48,Bishoftu,"Nifas Silk, Woreda 3, House 441",
23,Yonas,Negash,Kebede,Male,0733158692,,31,Harar,"Yeka, Woreda 3, House 903",
24,Mekonnen,Getachew,Getachew,Male,0763421607,,29,Bahir Dar,"Akaki, Woreda 6, House 313",
25,Kebede,Mulugeta,Tadesse,Male,0941458685,,4,Adama,"Lideta, Woreda 3, House 595",
26,Bekele,Tekle,Mekonnen,Male,0956981693,,33,Addis Ababa,"Kolfe, Woreda 1, House 533",
27,Dawit,Mekonnen,Negash,Male,0759514846,,42,Gondar,"Lideta, Woreda 9, House 131",
28,Lidya,Assefa,Desta,Female,0929946804,,37,Bahir Dar,"Kolfe, Woreda 10, House 622",
29,Kebede,Kebede,Tadesse,Male,0921489513,,87,Mekelle,"Arada, Woreda 4, House 151",
30,Mulugeta,Negash,Getachew,Male,0917693676,,32,Hawassa,"Bole, Woreda 2, House 798",
31,Habtamu,Gebre,Negash,Male,0983172788,,77,Dire Dawa,"Akaki, Woreda 10, House 835",
32,Saba,Habtamu,Getachew,Female,0927743487,,81,Bahir Dar,"Lideta, Woreda 8, House 80",
33,Mekonnen,Negash,Tadesse,Male,0712236231,,54,Gondar,"Gulele, Woreda 9, House 478",
34,Bekele,Tekle,Lemma,Male,0990967054,,50,Harar,"Kolfe, Woreda 9, House 766",
35,Kalkidan,Hailu,Worku,Female,0967065627,,17,Bishoftu,"Nifas Silk, Woreda 1, House 929",
36,Sara,Hailu,Mulugeta,Female,0962720465,,28,Jimma,"Gulele, Woreda 6, House 780",
37,Mahlet,Kebede,Lemma,Female,0917080531,,84,Addis Ababa,"Bole, Woreda 4, House 205",
38,Henok,Habtamu,Bekele,Male,0919374529,,78,Sodo,"Kirkos, Woreda 3, House 988",
39,Rahel,Tadesse,Wolde,Female,0966319314,,88,Bishoftu,"Kirkos, Woreda 10, House 802",
40,Hewan,Gebre,Mulugeta,Female,0950671657,,91,Hawassa,"Kolfe, Woreda 3, House 752",
41,Saba,Hailu,Assefa,Female,0776945314,,58,Bahir Dar,"Akaki, Woreda 10, House 625",
42,Mekonnen,Negash,Abebe,Male,0935454948,,2,Dessie,"Arada, Woreda 2, House 248",
43,Aster,Tekle,Gebre,Female,0977014363,,40,Shashemene,"Addis Ketema, Woreda 6, House 485",
44,Fikru,Mekonnen,Mekonnen,Male,0974443135,,16,Sodo,"Nifas Silk, Woreda 12, House 190",
45,Genet,Girma,Mulugeta,Female,0789413435,,23,Mekelle,"Bole, Woreda 12, House 547",
46,Yonas,Abebe,Bekele,Male,0927109477,,57,Dire Dawa,"Yeka, Woreda 1, House 259",
47,Lidya,Lemma,Getachew,Female,0990229413,,16,Dessie,"Kolfe, Woreda 10, House 611",
48,Lidya,Mekonnen,Mulugeta,Female,0974964990,,79,Sodo,"Kirkos, Woreda 4, House 641",
49,Bethlehem,Habtamu,Desta,Female,0981206797,,38,Addis Ababa,"Arada, Woreda 5, House 724",
50,Tesfaye,Habtamu,Lemma,Male,0793618324,,19,Adama,"Bole, Woreda 3, House 812",
51,Tsion,Negash,Assefa,Female,0771746488,,64,Jimma,"Kirkos, Woreda 10, House 41",
52,Sara,Worku,Negash,Female,0999049027,,67,Shashemene,"Akaki, Woreda 5, House 186",
53,Kalkidan,Hailu,Tekle,Female,0775655125,,53,Sodo,"Akaki, Woreda 5, House 679",
54,Dawit,Abebe,Desta,Male,0951680876,,7,Bahir Dar,"Nifas Silk, Woreda 6, House 638",
55,Marta,Tekle,Negash,Female,0924771093,,91,Hawassa,"Lideta, Woreda 9, House 15",
56,Bereket,Hailu,Mekonnen,Male,0912748467,,61,Bahir Dar,"Akaki, Woreda 9, House 149",
57,Rediet,Abebe,Girma,Female,0721465840,,37,Sodo,"Lideta, Woreda 10, House 594",
58,Mulugeta,Abebe,Hailu,Male,0988675339,,50,Bahir Dar,"Kolfe, Woreda 1, House 326",
59,Henok,Girma,Negash,Male,0902895171,,68,Debre Markos,"Akaki, Woreda 1, House 740",
60,Selam,Lemma,Alemu,Female,0945961586,,41,Shashemene,"Akaki, Woreda 9, House 37",
61,Solomon,Wolde,Negash,Male,0716117240,,6,Dire Dawa,"Bole, Woreda 5, House 368",
62,Habtamu,Desta,Mulugeta,Male,0922219693,,64,Debre Markos,"Addis Ketema, Woreda 3, House 238",
63,Abel,Desta,Habtamu,Male,0774821759,,39,Shashemene,"Kolfe, Woreda 12, House 257",
64,Getachew,Worku,Tadesse,Male,0713695944,,3,Harar,"Kolfe, Woreda 5, House 9",
65,Kalkidan,Tadesse,Habtamu,Female,0743953394,,87,Arba Minch,"Yeka, Woreda 11, House 100",
66,Meron,Mulugeta,Tesfaye,Female,0921456232,,70,Debre Markos,"Gulele, Woreda 9, House 514",
67,Mulugeta,Mulugeta,Tekle,Male,0745171236,,72,Dire Dawa,"Kirkos, Woreda 7, House 15",
68,Tadesse,Lemma,Getachew,Male,0949651370,,80,Debre Markos,"Nifas Silk, Woreda 6, House 938",
